"id","code","name","note","user_type_id:id","reconcile","chart_template_id:id"
"account_template_poppi_132_03_10","132.03.10","INSTALACOES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_11","132.03.11","MAQUINAS E MOTORES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_12","132.03.12","MODELOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_13","132.03.13","MODELOS IMPORTADOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_14","132.03.14","COTAS CONSORCIO DE VEICULOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_15","132.03.15","TERRENOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_04_01","132.04.01","DEPRECIACOES FERRAMENTAS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_04_02","132.04.02","DEPRECIACOES INSTALACOES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_04_03","132.04.03","DEPRECIACOES MODELOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_04_04","132.04.04","DEPRECIACOES MOVEIS UTENSILIOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_04_05","132.04.05","DEPRECIACOES VEICULOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_04_06","132.04.06","DEPRECIACOES BIBLIOTECA","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_04_07","132.04.07","DEPRECIACOES MAQS E MOTORES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_04_08","132.04.08","DEPRECIACOES MODELOS IMPORT.","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_04_09","132.04.09","DEPRECIACOES IMOVEIS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_01_01","133.01.01","INSTALACOES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_01_02","133.01.02","FERRAMENTAS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_01_03","133.01.03","MOVEIS E UTENSILIOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_01_04","133.01.04","MAQUINAS E MOTORES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_01_05","133.01.05","VEICULOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_02_01","133.02.01","DEPRECIACOES FERRAMENTAS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_02_02","133.02.02","DEPRECIACOES INSTALACOES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_02_03","133.02.03","DEPRECIACOES MOVEIS E UTENS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_03_01","133.03.01","INSTALACOES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_03_02","133.03.02","FERRAMENTAS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_03_03","133.03.03","MOVEIS E UTENSILIOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_03_04","133.03.04","MAQUINAS E MOTORES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_04_01","133.04.01","DEPRECIACOES FERRAMENTAS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_04_02","133.04.02","DEPRECIACOES INSTALACOES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_133_04_03","133.04.03","DEPRECIACOES MOVEIS E UTENS.","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_134_01_01","134.01.01","GASTO COM DESENVOLVIMENTO DE PRODUTOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_141_01_01","141.01.01","IMOBILIZADO EM ANDAMENTO (RESIDUAL)","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_141_07_01","141.07.01","SIMPLES REMESSA P/INDUSTRIALIZACAO","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_141_07_02","141.07.02","SIMPLES REMESSA REP GARANTIA E TESTE","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_141_07_03","141.07.03","SIMPLES REMESSA EXPOSICAO FEIRAS","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_141_07_04","141.07.04","DEMONSTRACAO","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_141_07_05","141.07.05","SIMPLES REMESSA P/CONSERTO","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_141_07_06","141.07.06","DEM SINDICATO INTERMUNICIPAL I CALC N SERRANA","","account.data_account_off_sheet","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_01_01","211.01.01","FORNECEDORES","","account.data_account_type_payable","1","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_01","211.05.01","INSS - RECEITA BRUTA","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_02","211.05.02","IMPOSTOS S/ IMPORTACAO A RECOLHER","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_03","211.05.03","IRRF","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_04","211.05.04","PROV PIS/COFINS/C.SOCIAL LEI 10833","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_05","211.05.05","IRRF S/SALARIOS E ORDENADOS","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_06","211.05.06","ISSQN S/SERVICOS TOMADOS","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_07","211.05.07","IPI A RECOLHER","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_08","211.05.08","ORDENADOS A PAGAR","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_09","211.05.09","ICMS A RECOLHER","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_10","211.05.10","PROVISAO P/ FERIAS","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_11","211.05.11","FGTS A RECOLHER","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_12","211.05.12","INSS A RECOLHER","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_13","211.05.13","PROVISAO P/ 13 SALARIO","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_14","211.05.14","ISSQN S/SERVICOS PRESTADOS","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_15","211.05.15","PROVISAO P/CONTR SOCIAL","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_16","211.05.16","GRRF A RECOLHER","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_17","211.05.17","ICMS - PARCELAMENTO","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_18","211.05.18","INSS - RETIDO S/ PREST SERVICO TRIB P/ ISSQN","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_19","211.05.19","CONTRIBUICAO SIND. A RECOLHER","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_20","211.05.20","PENSAO ALIMENTICIA A PAGAR","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_21","211.05.21","CONTRIBUICAO CONFEDERATIVA","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_22","211.05.22","PGTO PIS FUNCIONARIOS","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_23","211.05.23","PIS - FATURAMENTO","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_24","211.05.24","COFINS","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_25","211.05.25","PROVISAO IMPOSTO RENDA S/LUCRO","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_26","211.05.26","IBAMA A RECOLHER","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_05_27","211.05.27","IPTU IMPOSTO PREDIAL TERRIT URBANO","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_08_01","211.08.01","IPI/ICMS","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_09_01","211.09.01","ADIANTAMENTO DE CAMBIO","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_10_01","211.10.01","IPI/ICMS","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_11_01","211.11.01","EMPRESTIMOS CONTRAIDOS NO PAIS","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_12_01","211.12.01","ADIANT DE CLIENTES(M.INTERNO)","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_13_01","211.13.01","ADIANT DE CLIENTES(M.EXTERNO)","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_211_14_01","211.14.01","PREMIO DE SEGURO","","account.data_account_type_current_liabilities","","l10n_br_coa_poppi_chart_template"
